file_path,start_s,end_s,duration_s,speaker_id,keyword_text,split,source_dataset,quadrant_class,profile_id,enrolled_user_id,enrolled_keyword_text,profile_path,trial_source,q3_gate_eligible,synthesis_backend,speaker_verification_score
data/raw/smoke/speaker/speaker_train_00/train_speaker_000.wav,0.000000,1.600000,1.600000,speaker_train_00,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_01/train_speaker_001.wav,0.000000,1.600000,1.600000,speaker_train_01,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_02/train_speaker_002.wav,0.000000,1.600000,1.600000,speaker_train_02,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_03/train_speaker_003.wav,0.000000,1.600000,1.600000,speaker_train_03,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_04/train_speaker_004.wav,0.000000,1.600000,1.600000,speaker_train_04,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_05/train_speaker_005.wav,0.000000,1.600000,1.600000,speaker_train_05,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_06/train_speaker_006.wav,0.000000,1.600000,1.600000,speaker_train_06,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_07/train_speaker_007.wav,0.000000,1.600000,1.600000,speaker_train_07,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_08/train_speaker_008.wav,0.000000,1.600000,1.600000,speaker_train_08,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_09/train_speaker_009.wav,0.000000,1.600000,1.600000,speaker_train_09,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_10/train_speaker_010.wav,0.000000,1.600000,1.600000,speaker_train_10,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_11/train_speaker_011.wav,0.000000,1.600000,1.600000,speaker_train_11,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_00/train_speaker_012.wav,0.000000,1.600000,1.600000,speaker_train_00,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_01/train_speaker_013.wav,0.000000,1.600000,1.600000,speaker_train_01,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_02/train_speaker_014.wav,0.000000,1.600000,1.600000,speaker_train_02,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_03/train_speaker_015.wav,0.000000,1.600000,1.600000,speaker_train_03,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_04/train_speaker_016.wav,0.000000,1.600000,1.600000,speaker_train_04,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_05/train_speaker_017.wav,0.000000,1.600000,1.600000,speaker_train_05,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_06/train_speaker_018.wav,0.000000,1.600000,1.600000,speaker_train_06,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_07/train_speaker_019.wav,0.000000,1.600000,1.600000,speaker_train_07,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_08/train_speaker_020.wav,0.000000,1.600000,1.600000,speaker_train_08,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_09/train_speaker_021.wav,0.000000,1.600000,1.600000,speaker_train_09,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_10/train_speaker_022.wav,0.000000,1.600000,1.600000,speaker_train_10,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_11/train_speaker_023.wav,0.000000,1.600000,1.600000,speaker_train_11,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_00/train_speaker_024.wav,0.000000,1.600000,1.600000,speaker_train_00,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_01/train_speaker_025.wav,0.000000,1.600000,1.600000,speaker_train_01,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_02/train_speaker_026.wav,0.000000,1.600000,1.600000,speaker_train_02,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_03/train_speaker_027.wav,0.000000,1.600000,1.600000,speaker_train_03,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_04/train_speaker_028.wav,0.000000,1.600000,1.600000,speaker_train_04,,train,smoke,,,,,,real,true,,
data/raw/smoke/speaker/speaker_train_05/train_speaker_029.wav,0.000000,1.600000,1.600000,speaker_train_05,,train,smoke,,,,,,real,true,,
